perplexity,perplexity_std,char_std,word_std,intrinsic_dimensions,temporal_burstiness,syntactic_burstiness,wd_burstiness,semantic_burstiness,sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
10.92437458,7.697170472,30.58870117,4.532590727,8.835768884,1.104901961,13.73412698,0.004080657,0.176981648,1.047360483,0.042427609,0.081730652,0.590277778,6.769230769,0.498975358,1,Deinosuchus,Biology and health sciences,Prehistoric crocodiles,255,1755
9.164158821,1.544521196,31.93054964,4.712748667,9.288849849,2.965850471,8.144018583,0.00441951,0.123531449,1.023502304,0.040396873,0.087324699,0.528455285,6.7,0.468313072,1,Burgundians,History,Europe_4,217,1430
12.28816986,9.337066979,31.05414626,4.392038251,9.45609208,0.793676411,21.33156028,0.005231,0.160487975,0.969346734,0.039534319,0.088249786,0.523404255,6.7,0.536751101,1,Attractor,Mathematics,Dynamical systems,199,1405
12.05405807,5.999309343,33.80665615,5.185556865,10.37335971,1.0685512,21.07492507,0.004213257,0.117494645,1.174235808,0.034624755,0.088261707,0.552447552,5.9,0.508905358,1,K-pop,Arts,Popular music: General,229,1527
15.4957056,5.952026479,63.57148208,9.290908871,9.542654089,1.510460823,9.020070838,0.004672422,0.183353509,1.57038835,0.03290845,0.076454979,0.55785124,7.875,0.445694766,1,Clement of Alexandria,People,Pre-Schism,206,1442
10.06021023,3.228984792,37.17750216,4.633812925,9.66104487,2.625278369,24.68815331,0.004193853,0.162175499,1.064738292,0.043650346,0.089245847,0.533101045,6.833333333,0.471074334,1,Geology,Physical sciences,Science and medicine,242,1732
7.94361639,4.550716885,58.02011146,8.486736202,9.413492949,3.994228375,14.56533333,0.003695464,0.173413898,1.953153153,0.041179456,0.081110379,0.514666667,6.133333333,0.468466742,1,John C. Breckinridge,People,Other_4,333,2198
12.00033188,5.269403509,39.9779236,6.480740698,9.199653052,2.31474359,8.95010395,0.004589341,0.08797996,1.75,0.034907066,0.101932363,0.585585586,7.0,0.481679161,1,Abd al-Mu'min,People,Africa_2,192,1270
8.931113243,5.051506146,29.15192465,5.466653228,10.40660655,1.562733427,11.97472527,0.004726544,0.168822487,1.529220779,0.044776205,0.094887208,0.542307692,6.181818182,0.478099237,1,André Previn,People,Pianists,224,1480
9.733128548,4.73817013,69.46313771,10.50178556,11.03731018,2.612353164,20.32858313,0.003594808,0.171222543,1.546520147,0.036601617,0.097708151,0.535626536,7.0,0.491151241,1,James F. Byrnes,People,Other_10,364,2380
9.412446976,3.835387072,27.35088675,4.160962565,9.069322136,2.864758947,15.04124861,0.004030294,0.198953157,0.765567766,0.038431216,0.083598764,0.48115942,6.538461538,0.503321393,1,Arameans,History,Western Asia,294,1978
12.77377605,7.30948123,35.87013614,5.12279763,10.313667,1.81961164,13.02539683,0.004449609,0.150546624,1.351573677,0.043321934,0.067092754,0.559259259,6.25,0.486314577,1,Ganesha,Philosophy and religion,Hindu mythology,233,1513
9.81878376,4.939614838,24.9857102,4.157609203,9.16086878,2.201491764,14.14860427,0.003989498,0.198993489,0.823129252,0.040969332,0.086462312,0.520114943,6.5,0.450914987,1,Johan Cruyff,People,Association football,294,1894
10.2911005,8.711550276,36.80810692,6.078147543,8.880754955,2.915556359,13.72104818,0.004174934,0.172998302,0.889632107,0.038867329,0.080172015,0.529585799,7.692307692,0.512085223,1,Andrei Gromyko,People,USSR,299,1907
10.42173767,3.516999455,23.67783774,3.389690251,10.55324854,1.003042423,13.85387834,0.004812988,0.14277619,0.577386935,0.040161547,0.11555255,0.589958159,6.1,0.503263248,1,Common blackbird,Biology and health sciences,Passerida,199,1327
11.87895298,9.630622139,47.22544924,6.832825184,10.82252709,1.728379773,12.25170068,0.004149089,0.177441433,2.197058824,0.042278416,0.109847141,0.554421769,7.25,0.488831289,1,Alan Turing,People,Mathematicians,255,1715
11.05757332,2.901262532,24.42563347,3.813850357,10.92362888,2.090931938,15.58805621,0.004109031,0.15868832,0.632411067,0.037000077,0.069045737,0.540983607,7.727272727,0.4698498,1,Bengal,Geography,Asia: General,253,1659
13.6061058,7.147571546,37.53144515,4.918078893,11.88493048,2.571167645,14.71098449,0.004262963,0.130887639,0.921428571,0.032512991,0.088970807,0.580246914,8.0,0.505767381,1,Illusions perdues,Arts,19th century fiction,210,1444
8.734343529,2.749018626,48.03339568,8.291294358,9.85531913,2.061679276,23.57582062,0.004279201,0.181250023,3.297757593,0.042523886,0.102529281,0.527508091,6.307692308,0.475186109,1,Kelp forest,Physical sciences,Oceanography,271,1798
13.20788383,7.186746848,31.27575482,6.384781288,9.831161657,1.926250304,11.39929742,0.00461869,0.13113323,1.748792271,0.036905076,0.10046197,0.532786885,7.0,0.478787162,1,Joseph Karo,People,Judaism,207,1382
9.178163528,5.595755513,28.2261376,3.491060011,9.44500815,1.599927772,30.90999323,0.003810683,0.161543339,0.686619718,0.044793627,0.081899914,0.524926686,5.75,0.511902681,1,Electric battery,Technology,Energy,284,2088
17.4809494,9.075825054,46.36301208,6.631909395,11.34098634,2.643103576,19.93500644,0.003977914,0.100506664,2.251649602,0.045532546,0.106367732,0.507507508,7.333333333,0.471444616,1,Existence of God,Philosophy and religion,Philosophy of religion,293,2019
11.45428181,6.624639797,32.56489248,5.916079783,10.91034561,4.091736695,23.41782554,0.00325582,0.18830881,1.544117647,0.041624699,0.119665593,0.513274336,7.166666667,0.498678486,1,Great Migration (African American),History,Americas_5,408,2743
16.64079475,16.14347574,30.44890478,4.201704534,8.279016852,2.099937402,9.099439776,0.004564695,0.150280342,0.702222222,0.032617391,0.064693275,0.549019608,8.0,0.50208058,1,Aulus Cornelius Cossus,People,Early republican period,225,1463
10.52673817,8.40352792,47.1421491,6.570641775,10.48187722,2.087516621,16.36134454,0.003927012,0.178521002,1.224594993,0.040088768,0.081889623,0.564705882,5.642857143,0.498722718,1,Brooklyn Bridge,Technology,Transport infrastructure,291,1997
10.2175703,5.024594282,43.61549294,7.294462535,11.04845753,3.28308687,14.13750461,0.003614022,0.213599687,2.223667377,0.036482213,0.074101836,0.54005168,7.071428571,0.45733138,1,Gregor Strasser,People,Nazi Germany,335,2164
12.5174675,9.634963273,28.8901175,4.923723749,10.76747987,1.656186198,11.60472801,0.00463615,0.137495271,0.631964809,0.038916247,0.07384194,0.505338078,6.272727273,0.489258152,1,Conrad Veidt,People,Europe,249,1502
7.145196915,3.174371758,40.5654478,5.526591162,9.766642594,3.096742192,6.898785425,0.004504977,0.157101933,1.266769073,0.036746461,0.086459504,0.570850202,6.888888889,0.36685185,1,Ephesus,History,Asia_3,217,1361
13.51892471,6.402180274,50.79261757,7.813449942,8.891324657,1.845416834,13.58848614,0.004435894,0.15024464,2.59787234,0.036067034,0.095006395,0.585820896,7.0,0.474658003,1,Joaquin Murrieta,People,"Thievery, robbery and hijacking",235,1503
11.14941883,5.191130056,30.16247914,5.44145821,8.838367588,1.80392703,16.85034014,0.004300539,0.190178578,1.510435301,0.044036941,0.112287237,0.523809524,7.384615385,0.489290732,1,Charles Boycott,People,Other_3,258,1709
13.40111828,7.267525301,26.88586989,3.720215048,10.39767265,1.852941176,13.59831613,0.004842464,1.31e-07,0.617857143,0.038644907,0.141494749,0.475285171,6.0,0.449382265,1,Celtic nations,Geography,Europe and Russia: General,224,1488
9.696022034,4.217884023,62.85980728,10.12647296,10.98588139,2.004288535,11.18523077,0.004583507,0.183256214,3.337442922,0.035293258,0.084817707,0.588,7.666666667,0.470420097,1,Burton Richter,People,Physics,219,1510
11.82448196,3.493022963,28.8444102,4.825971405,11.27610451,1.320615466,19.16133005,0.004317975,0.196478819,1.158706468,0.042852707,0.08448609,0.61637931,6.4,0.512270036,1,Financial crisis,Society and social sciences,Banking and financing,201,1505
12.61561108,4.557983186,36.57717868,5.37494186,12.46362209,1.25590796,20.3716707,0.004634873,3.3e-08,1.437313433,0.041303857,0.095269202,0.563559322,5.7,0.496693027,1,Cadaver,Biology and health sciences,Human anatomy,201,1440
20.07480431,7.332813597,33.5522041,5.514199851,10.86581739,3.973933499,35.28648233,0.00273685,0.175626151,1.410315399,0.040977541,0.09438802,0.442396313,7.0,0.490996339,1,Dragon Ball,Arts,Manga,539,3503
8.519548416,3.264300342,22.24297642,4.145780988,9.859914215,1.774964639,12.24602402,0.004515183,0.089751254,0.680693069,0.032653869,0.08318806,0.582278481,8.25,0.472503411,1,Gloucestershire,Geography,United Kingdom,202,1341
12.00791931,5.486135481,35.85024407,6.116371473,10.54222792,1.308009863,11.68957089,0.004289093,0.160425932,1.648017621,0.038276026,0.101935743,0.596958175,6.1,0.452279317,1,Acherontia lachesis,Biology and health sciences,Lepidoptera,227,1519
10.32580948,7.568555626,20.39215535,3.651483717,9.004777395,1.996619757,17.58174828,0.003968095,0.17956986,0.661368653,0.044048497,0.101515547,0.512747875,6.0,0.477462461,1,John Woo,People,Asia_5,304,1947
14.05276871,5.678480743,29.2368919,4.512190332,10.99834573,2.124223883,21.92735735,0.003821388,1.79e-08,1.105807179,0.048996176,0.082053846,0.52407932,5.352941176,0.488823673,1,Clock,Technology,Navigation and timekeeping,313,2043
12.31074715,6.490959756,48.006076,5.720064318,11.04484123,2.511321829,44.83842084,0.003703235,0.127456475,1.823357413,0.050513755,0.090850393,0.547619048,6.222222222,0.494008156,1,Data mining,Technology,Computer software,323,2467
10.3299036,3.671170474,41.49765723,5.903741751,9.495052981,1.939436759,20.4843869,0.004145798,0.188623776,1.721193416,0.038377041,0.069511624,0.537953795,6.916666667,0.539128428,1,Horses (album),Arts,Rock_2,243,1686
9.231820107,4.025035907,50.08971543,7.117454831,10.81214291,2.654590892,21.84921329,0.003672754,0.199121326,2.236358797,0.038261764,0.104015208,0.539772727,6.0,0.502774074,1,Grisons,Geography,Switzerland,289,2012
12.80501556,7.046399218,62.85101431,8.982404675,11.36211547,4.515882384,17.82451499,0.003272855,0.147885658,3.657046742,0.043521085,0.088494516,0.503703704,6.875,0.432436137,1,Battle of Marathon,History,Europe_2,353,2353
10.51632595,2.382108383,32.29706785,5.384615385,12.26522248,2.944195187,16.55320129,0.003931875,0.154012942,1.26484254,0.039653327,0.066748032,0.505988024,6.846153846,0.487540819,1,Christian ethics,Philosophy and religion,Theology,298,2049
11.79557419,4.914022273,26.29711888,4.554729644,10.67100062,2.308585859,19.68758967,0.003882872,0.194614897,0.980699301,0.041557481,0.091252074,0.542682927,6.230769231,0.493273964,1,Auguste Rodin,People,Sculptors,275,1850
11.13909435,7.659664027,33.44268564,6.141580274,9.776055559,2.417695348,8.241084586,0.004489587,0.17026568,1.803952569,0.040929409,0.090550821,0.524904215,6.363636364,0.497948114,1,Baybars,People,Africa_3,230,1494
10.7587595,3.611160251,36.44037358,5.158640349,9.555417937,1.268674887,16.03648525,0.004827965,0.083385901,1.361522199,0.048045303,0.123321844,0.537549407,6.545454545,0.490658094,1,Friction,Physical sciences,Classical mechanics,215,1467
11.33652687,8.616747778,63.99110879,9.968001736,10.32123558,4.082736778,17.47411314,0.003459602,0.157110038,2.765695966,0.043354896,0.090180191,0.487695749,6.157894737,0.462941955,1,John C. Frémont,People,Modern,394,2608
17.41052628,5.526752972,24.81640922,3.696845502,10.95177424,2.425,15.27785382,0.004527685,0.160491719,0.683333333,0.043098961,0.082372666,0.505338078,6.25,0.504866363,1,Book of Job,Philosophy and religion,Books of the Bible,240,1576
10.44211197,7.747650116,55.12168357,8.650240844,10.04854315,1.495904762,12.12846865,0.004275394,0.205632627,1.608727273,0.037323695,0.101323036,0.582733813,6.727272727,0.463832835,1,Alan Shepard,People,Space travelers,250,1580
9.668728828,6.048183767,48.09864125,7.112785388,9.177664115,3.362444962,13.01698731,0.003745016,0.13495172,2.214452214,0.037834037,0.106340054,0.532951289,6.230769231,0.439050702,1,Indus River,Geography,Asia_2,297,1973
12.93916988,5.988742111,30.0465204,5.411954933,10.75740413,1.388282026,9.77764977,0.004528691,0.192167719,1.519725557,0.041681835,0.083681112,0.588709677,5.818181818,0.481510713,1,Joseph Saidu Momoh,People,Sierra Leone,212,1441
11.45265102,7.922427416,28.34854494,4.738143096,9.494351074,1.64575901,9.98961039,0.004780439,0.156779721,1.095121951,0.037573662,0.11200741,0.584415584,6.777777778,0.480548586,1,"Edmund Allenby, 1st Viscount Allenby",People,Britain_2,205,1348
